2026-06-16 08:20:02,940 | INFO     | company-ai.ai | pid=32095 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=354 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:21:17,863 | INFO     | company-ai.ai | pid=32095 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=343 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:30:56,547 | INFO     | company-ai.ai | pid=32095 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=326 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:33:07,813 | INFO     | company-ai.ai | pid=33055 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=1126 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:36:56,138 | INFO     | company-ai.ai | pid=33216 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=1113 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:37:52,542 | INFO     | company-ai.ai | pid=33216 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=462 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:38:24,015 | INFO     | company-ai.ai | pid=33216 | KB retrieve | depts='finance,hr,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=280 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:40:34,303 | INFO     | company-ai.ai | pid=33216 | KB retrieve | depts='finance' meta_filters='(none)' results=8 latency_ms=441 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:40:52,745 | INFO     | company-ai.ai | pid=33216 | KB retrieve | depts='finance,it,legal,operations' meta_filters='(none)' results=10 latency_ms=312 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:42:16,160 | INFO     | company-ai.ai | pid=33216 | KB retrieve | depts='finance,it,legal,operations' meta_filters='(none)' results=10 latency_ms=286 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:44:08,654 | INFO     | company-ai.ai | pid=33348 | KB retrieve | depts='finance,it,legal,operations' meta_filters='(none)' results=10 latency_ms=825 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:44:31,910 | INFO     | company-ai.ai | pid=33348 | KB retrieve | depts='finance,it,legal,operations' meta_filters='(none)' results=10 latency_ms=434 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:44:42,904 | INFO     | company-ai.ai | pid=33348 | KB retrieve | depts='finance,it,legal,operations' meta_filters='(none)' results=10 latency_ms=297 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:45:30,841 | INFO     | company-ai.ai | pid=33348 | KB retrieve | depts='finance,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=279 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-16 08:45:52,995 | INFO     | company-ai.ai | pid=33348 | KB retrieve | depts='finance,it,legal,operations,procurement,security' meta_filters='(none)' results=10 latency_ms=277 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:42:15,095 | INFO     | company-ai.ai | pid=26632 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=1370 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:42:40,765 | INFO     | company-ai.ai | pid=26632 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=414 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:43:14,306 | INFO     | company-ai.ai | pid=26632 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=392 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:43:24,568 | INFO     | company-ai.ai | pid=26632 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=408 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:43:32,576 | INFO     | company-ai.ai | pid=26632 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=376 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:43:53,906 | INFO     | company-ai.ai | pid=26632 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=477 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:46:50,319 | INFO     | company-ai.ai | pid=13688 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=1502 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:47:07,358 | INFO     | company-ai.ai | pid=20556 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=1664 search_type='SEMANTIC' store='s3' rerank='passthrough'
2026-06-17 11:47:12,627 | INFO     | company-ai.ai | pid=20556 | KB retrieve | depts='it' meta_filters='(none)' results=0 latency_ms=371 search_type='SEMANTIC' store='s3' rerank='passthrough'
